"","FighterID","Fighter","Result","Opponent","Event","Method","Round","Time","Date"
"203",8,"Ricco Rodriguez","loss","Alexander Volkov","BF - Baltic Challenge 3Feb / 23 / 2012","Decision (Unanimous)N/A","3","5:00",2012-02-23
"218",8,"Ricco Rodriguez","loss","Blagoy Ivanov","CMMAT - Chekhov MMA TournamentDec / 24 / 2011","TKO (Retirement)N/A","3","3:33",2011-12-24
"224",8,"Ricco Rodriguez","win","Bashir Yamilkhanov","FEFoMP - Battle of Empires 1Dec / 17 / 2011","TKO (Punches)N/A","2","2:56",2011-12-17
"233",8,"Ricco Rodriguez","loss","Glover Teixeira","MMAAD - MMA Against DengueNov / 27 / 2011","TKO (Submission to Punches)N/A","1","1:58",2011-11-27
"243",8,"Ricco Rodriguez","loss","Michal Kita","MMAA - MMA AttackNov / 05 / 2011","Decision (Unanimous)Grzegorz Jakubowski","2","5:00",2011-11-05
"253",8,"Ricco Rodriguez","loss","Seth Petruzelli","BFC - Bellator Fighting Championships 48Aug / 20 / 2011","TKO (Punches)Dan Miragliotta","1","4:21",2011-08-20
"263",8,"Ricco Rodriguez","win","Doug Williams","SF 17 - Horwich vs. Rosholt 2Jul / 15 / 2011","Submission (Rear-Naked Choke)Kerry Hatley","1","2:16",2011-07-15
"273",8,"Ricco Rodriguez","win","James McSweeney","BAMMA 5 - Daley vs. ShiraiFeb / 26 / 2011","Decision (Unanimous)Mark Woodard","3","5:00",2011-02-26
"283",8,"Ricco Rodriguez","win","Daniel Tabera","Israel Fighting Championship - GenesisNov / 09 / 2010","Decision (Unanimous)N/A","3","5:00",2010-11-09
"293",8,"Ricco Rodriguez","win","John Juarez","USA MMA - StackedJul / 31 / 2010","Decision (Split)N/A","3","5:00",2010-07-31
"303",8,"Ricco Rodriguez","win","Bobby Martinez","AFA 4 - Parking Lot BeatdownJul / 17 / 2010","Submission (Heel Hook)Robert Hinds","1","1:03",2010-07-17
"318",8,"Ricco Rodriguez","win","Ken Sparks","USA MMA - LegendsMay / 22 / 2010","TKO (Punches)N/A","1","2:32",2010-05-22
"323",8,"Ricco Rodriguez","win","Travis Fulton","CT - Cage ThugMay / 01 / 2010","KO (Head Kick)N/A","1","N/A",2010-05-01
"332",8,"Ricco Rodriguez","win","Brian Ryan","XKL - Evolution 1Mar / 20 / 2010","TKO (Punches)N/A","2","2:05",2010-03-20
"342",8,"Ricco Rodriguez","win","Patrick Miller","STFC 10 - AnnihilationFeb / 26 / 2010","TKO (Punches)Mark Calo-oy","2","2:20",2010-02-26
"352",8,"Ricco Rodriguez","win","Moise Rimbon","Union of Veterans of Sport - Mayor's Cup 2009Nov / 27 / 2009","Decision (Split)N/A","3","3:00",2009-11-27
"362",8,"Ricco Rodriguez","win","Justin Howard","KOK 7 - Judgment DayAug / 29 / 2009","TKO (Submission to Punches)Kerry Hatley","1","2:05",2009-08-29
"371",8,"Ricco Rodriguez","win","John Brown","Reality Combat - The ReturnJul / 25 / 2009","Submission (Rear-Naked Choke)N/A","3","2:34",2009-07-25
"381",8,"Ricco Rodriguez","loss","Mario Rinaldi","WFC  - Battle of the Bay 8Jul / 10 / 2009","Decision (Unanimous)N/A","3","5:00",2009-07-10
"391",8,"Ricco Rodriguez","win","Doug Williams","Armageddon - Armageddon 9Jun / 27 / 2009","Submission (Anaconda Choke)Duncan Black","1","1:02",2009-06-27
"401",8,"Ricco Rodriguez","loss","Jeff Monson","MFA - There Will Be BloodDec / 13 / 2008","Decision (Unanimous)N/A","3","5:00",2008-12-13
"415",8,"Ricco Rodriguez","win","Robert Beraun","RITC 117 - Rage in the Cage 117Nov / 08 / 2008","Decision (Unanimous)N/A","3","3:00",2008-11-08
"421",8,"Ricco Rodriguez","win","Rob Broughton","CG 9 - BeatdownOct / 04 / 2008","Submission (Kneebar)N/A","2","3:39",2008-10-04
"431",8,"Ricco Rodriguez","win","Titus Campbell","SCF - Silver Crown FightsAug / 08 / 2008","Submission (Guillotine Choke)N/A","2","3:06",2008-08-08
"441",8,"Ricco Rodriguez","win","Johnathan Ivey","Xp3 - The Proving GroundJul / 26 / 2008","Decision (Unanimous)N/A","3","3:00",2008-07-26
"451",8,"Ricco Rodriguez","win","Chris Guillen","UCE - Round 31 Finals Jun / 27 / 2008","Submission (Armbar)N/A","1","4:30",2008-06-27
"461",8,"Ricco Rodriguez","loss","Travis Wiuff","YAMMA - Pit Fighting 1Apr / 11 / 2008","Decision (Unanimous)N/A","1","5:00",2008-04-11
"471",8,"Ricco Rodriguez","win","George Bush","YAMMA - Pit Fighting 1Apr / 11 / 2008","Decision (Unanimous)N/A","1","5:00",2008-04-11
"481",8,"Ricco Rodriguez","loss","Antonio Silva","EliteXC - Street CertifiedFeb / 16 / 2008","Decision (Split)Jorge Ortiz","3","5:00",2008-02-16
"491",8,"Ricco Rodriguez","win","Kelvin Fitial","PFP - Ring of FireDec / 09 / 2007","TKO (Retirement)Mario Yamasaki","1","2:23",2007-12-09
"50",8,"Ricco Rodriguez","loss","Ben Rothwell","IFL - 2007 Team Championship FinalSep / 20 / 2007","Decision (Unanimous)N/A","3","4:00",2007-09-20
"511",8,"Ricco Rodriguez","win","Lloyd Marshbanks","MMAX 13 - MMA Xtreme 13Jul / 28 / 2007","TKO (Punches)Manolo Hernandez","1","3:11",2007-07-28
"521",8,"Ricco Rodriguez","win","Imani Lee","BIB - Beatdown in BakersfieldNov / 17 / 2006","Submission (Rear-Naked Choke)N/A","1","2:12",2006-11-17
"531",8,"Ricco Rodriguez","win","Abdias Irisson","MMAX 7 - MMA Xtreme 7Nov / 11 / 2006","TKO (Punches)N/A","1","N/A",2006-11-11
"541",8,"Ricco Rodriguez","win","Ron Waterman","WFA 4 - King of the StreetsJul / 22 / 2006","TKO (Doctor Stoppage)Nelson Hamilton","1","5:00",2006-07-22
"551",8,"Ricco Rodriguez","win","Taylor Brooks","MMAX 1 - MMA Xtreme 1Mar / 25 / 2006","Submission (Armbar)N/A","1","N/A",2006-03-25
"56",8,"Ricco Rodriguez","loss","Robert Beraun","RITC 78 - Back with a VenganceJan / 14 / 2006","Decision (Unanimous)N/A","3","3:00",2006-01-14
"57",8,"Ricco Rodriguez","win","Tyler Brooks","PFL - Pro Fight LeagueDec / 09 / 2005","Submission (Armbar)N/A","1","4:00",2005-12-09
"58",8,"Ricco Rodriguez","win","David Mori","MMAFC 4 - MMA Fighting Challenge 4Dec / 03 / 2005","Decision (Unanimous)N/A","3","5:00",2005-12-03
"59",8,"Ricco Rodriguez","win","Corey Salter","UTS 3 - Ultimate Texas Showdown 3Nov / 26 / 2005","Submission (Armbar)N/A","2","0:17",2005-11-26
"60",8,"Ricco Rodriguez","win","Jimmy Ambriz","WEC 17 - Halloween Fury 4Oct / 14 / 2005","TKO (Submission to Punches)Herb Dean","1","4:13",2005-10-14
"611",8,"Ricco Rodriguez","loss","Ron Waterman","WEC 16 - Clash of the Titans 2Aug / 18 / 2005","Decision (Unanimous)Josh Rosenthal","3","5:00",2005-08-18
"621",8,"Ricco Rodriguez","win","Andy Montana","IE - Independent EventJul / 15 / 2005","Submission (Armbar)N/A","1","1:50",2005-07-15
"631",8,"Ricco Rodriguez","win","Ruben Villareal","Extreme Wars - X-1Jul / 02 / 2005","Submission (Armbar)N/A","1","2:38",2005-07-02
"641",8,"Ricco Rodriguez","win","Scott Junk","ROTR 7 - Rumble On The Rock 7May / 07 / 2005","Submission (Front Choke)Larry Landless","2","0:42",2005-05-07
"651",8,"Ricco Rodriguez","win","Mike Seal","MMA Mexico - Day 2Dec / 18 / 2004","Submission (Rear-Naked Choke)N/A","1","1:06",2004-12-18
"66",8,"Ricco Rodriguez","loss","Pedro Rizzo","UFC 45 - RevolutionNov / 21 / 2003","Decision (Unanimous)N/A","3","5:00",2003-11-21
"67",8,"Ricco Rodriguez","loss","Antonio Rodrigo Nogueira","Pride FC - Total Elimination 2003Aug / 10 / 2003","Decision (Unanimous)N/A","3","5:00",2003-08-10
"68",8,"Ricco Rodriguez","loss","Tim Sylvia","UFC 41 - OnslaughtFeb / 28 / 2003","TKO (Punches)N/A","1","3:09",2003-02-28
"69",8,"Ricco Rodriguez","win","Randy Couture","UFC 39 - The Warriors ReturnSep / 27 / 2002","TKO (Submission to Elbow)N/A","5","3:04",2002-09-27
"70",8,"Ricco Rodriguez","win","Tsuyoshi Kosaka","UFC 37 - High ImpactMay / 10 / 2002","TKO (Punches)N/A","2","3:25",2002-05-10
"711",8,"Ricco Rodriguez","win","Jeff Monson","UFC 35 - ThrowdownJan / 11 / 2002","TKO (Punches)N/A","3","3:00",2002-01-11
"721",8,"Ricco Rodriguez","win","Pete Williams","UFC 34 - High VoltageNov / 02 / 2001","TKO (Punches)N/A","2","4:02",2001-11-02
"731",8,"Ricco Rodriguez","win","Andrei Arlovski","UFC 32 - Showdown in the MeadowlandsJun / 29 / 2001","TKO (Punches)N/A","3","1:23",2001-06-29
"741",8,"Ricco Rodriguez","win","Paul Buentello","KOTC 7 - Wet and WildFeb / 24 / 2001","Submission (Kneebar)N/A","2","4:21",2001-02-24
"751",8,"Ricco Rodriguez","win","John Marsh","Pride 12 - Cold FuryDec / 23 / 2000","Decision (Unanimous)N/A","2","5:00",2000-12-23
"76",8,"Ricco Rodriguez","win","Takayuki Okada","Pride 10 - Return of the WarriorsAug / 27 / 2000","Submission (Smother Choke)N/A","1","6:04",2000-08-27
"77",8,"Ricco Rodriguez","win","Gary Goodridge","Pride 9 - New BloodJun / 04 / 2000","Decision (Unanimous)Yuichi Watanabe","2","10:00",2000-06-04
"78",8,"Ricco Rodriguez","win","Travis Fulton","KOTC 2 - Desert StormFeb / 05 / 2000","Submission (Armbar)N/A","1","4:49",2000-02-05
"79",8,"Ricco Rodriguez","win","Sam Adkins","Armageddon - Armageddon 2Nov / 23 / 1999","Submission (Forearm Choke)N/A","1","4:32",1999-11-23
"80",8,"Ricco Rodriguez","loss","Bobby Hoffman","SB 13 - SuperBrawl 13Sep / 07 / 1999","KO (Punches)N/A","1","3:13",1999-09-07
"811",8,"Ricco Rodriguez","win","Steve Shaw","RITC 6 - Rage in the Cage 6Jul / 10 / 1999","Submission (Armbar)N/A","1","1:34",1999-07-10
"821",8,"Ricco Rodriguez","win","Rocky Batastini","EC - Extreme CageMar / 25 / 1999","Submission (Armbar)N/A","1","4:58",1999-03-25
"831",8,"Ricco Rodriguez","win","Scott Adams","EC - Extreme CageMar / 25 / 1999","DecisionN/A","3","4:00",1999-03-25
"219",9,"John Marsh","loss","Oleg Taktarov","Bodog Fight - USA vs. RussiaNov / 30 / 2007","Submission (Kneebar)N/A","2","0:33",2007-11-30
"319",9,"John Marsh","loss","Chad Griggs","IFL - HoustonFeb / 02 / 2007","TKO (Punches)N/A","3","2:32",2007-02-02
"416",9,"John Marsh","win","Shane Faulkner","Extreme Wars 2 - X-1Mar / 18 / 2006","KO (Punches)N/A","3","2:51",2006-03-18
"512",9,"John Marsh","loss","Mike Van Arsdale","UFC 52 - Couture vs. Liddell 2Apr / 16 / 2005","Decision (Unanimous)Steve Mazzagati","3","5:00",2005-04-16
"612",9,"John Marsh","win","Wesley Correira","ROTR 5 - Rumble on the Rock 5May / 07 / 2004","Decision (Unanimous)Larry Landless","3","5:00",2004-05-07
"712",9,"John Marsh","loss","Ricco Rodriguez","Pride 12 - Cold FuryDec / 23 / 2000","Decision (Unanimous)N/A","2","5:00",2000-12-23
"87",9,"John Marsh","loss","Vladimir Matyushenko","IFC WC 6 - Warriors Challenge 6Mar / 25 / 2000","Decision (Unanimous)N/A","1","20:00",2000-03-25
"96",9,"John Marsh","loss","Jeremy Horn","NG 13 - Neutral Grounds 13Nov / 20 / 1999","Decision (Unanimous)N/A","3","5:00",1999-11-20
"106",9,"John Marsh","loss","Josh Barnett","SB 13 - SuperBrawl 13Sep / 07 / 1999","Submission (Kimura)N/A","1","4:23",1999-09-07
"115",9,"John Marsh","win","Travis Fulton","SB 13 - SuperBrawl 13Sep / 07 / 1999","Submission (Heel Hook)N/A","2","2:48",1999-09-07
"125",9,"John Marsh","win","Jack Swart","RIR - Rumble in RenoSep / 04 / 1998","Submission (Keylock)N/A","0","N/A",1998-09-04
"135",9,"John Marsh","win","Keith Stewert","RIR - Rumble in RenoSep / 04 / 1998","Submission (Rear-Naked Choke)N/A","0","N/A",1998-09-04
"145",9,"John Marsh","win","Adel Adel","NG 6 - Neutral Grounds 6Aug / 02 / 1998","Submission (Rear-Naked Choke)N/A","1","N/A",1998-08-02
"155",9,"John Marsh","win","Paul Pumphery","EC 17 - Extreme Challenge 17Apr / 11 / 1998","TKO (Submission to Punches)N/A","1","4:22",1998-04-11
"165",9,"John Marsh","win","Griffen Reynaud","EC 17 - Extreme Challenge 17Apr / 11 / 1998","TKO (Submission to Punches)N/A","1","6:22",1998-04-11
"220",10,"Akira Shoji","loss","Kazuo Misaki","Deep - 53 ImpactApr / 22 / 2011","TKO (Punches)Yoshinori Umeki","2","1:13",2011-04-22
"320",10,"Akira Shoji","loss","Gilbert Yvel","Pride 34 - KamikazeApr / 08 / 2007","TKO (Punches)N/A","1","3:04",2007-04-08
"417",10,"Akira Shoji","win","Carlos Toyota","Deep - clubDeep Toyama: Barbarian Festival 5Nov / 19 / 2006","Decision (Majority)N/A","2","5:00",2006-11-19
"513",10,"Akira Shoji","loss","Kyacey Uscola","KOTC - All StarsOct / 28 / 2006","TKO (Punches)N/A","2","2:23",2006-10-28
"613",10,"Akira Shoji","win","Todd Medina","KOTC - Rapid FireAug / 04 / 2006","Decision (Unanimous)N/A","3","5:00",2006-08-04
"713",10,"Akira Shoji","loss","Kazuo Misaki","Deep - 23 ImpactFeb / 05 / 2006","Technical Submission (Guillotine Choke)N/A","1","2:32",2006-02-05
"88",10,"Akira Shoji","loss","Mark Weir","Cage Rage 14 - PunishmentDec / 03 / 2005","KO (Head Kick)N/A","1","0:17",2005-12-03
"97",10,"Akira Shoji","loss","Dean Lister","Pride - Bushido 6Apr / 03 / 2005","Submission (Triangle Choke)N/A","1","3:13",2005-04-03
"107",10,"Akira Shoji","loss","Paulo Filho","Pride - Bushido 4Jul / 19 / 2004","Decision (Split)N/A","2","5:00",2004-07-19
"116",10,"Akira Shoji","win","Yukio Kawabe","Pride - Bushido 3May / 23 / 2004","TKO (Punches)N/A","1","0:18",2004-05-23
"126",10,"Akira Shoji","loss","Murilo Rua","Pride FC - Shockwave 2003Dec / 31 / 2003","KO (Flying Knee)N/A","1","2:24",2003-12-31
"136",10,"Akira Shoji","loss","Mauricio Rua","Pride - Bushido 1Oct / 05 / 2003","KO (Punches)N/A","1","3:47",2003-10-05
"146",10,"Akira Shoji","win","Dustin Denes","AFC 4 - Absolute Fighting Championships 4Jul / 19 / 2003","Decision (Unanimous)N/A","3","5:00",2003-07-19
"156",10,"Akira Shoji","win","Alex Stiebling","Pride 25 - Body BlowMar / 16 / 2003","Decision (Split)N/A","3","5:00",2003-03-16
"166",10,"Akira Shoji","loss","Paulo Filho","Pride 22 - Beasts From The East 2Sep / 29 / 2002","Submission (Armbar)N/A","1","2:48",2002-09-29
"175",10,"Akira Shoji","win","Dave Roberts","KOTC 13 - RevolutionMay / 17 / 2002","Submission (Armbar)Nelson Hamilton","2","4:46",2002-05-17
"185",10,"Akira Shoji","loss","Jeremy Horn","Pride 18 - Cold Fury 2Dec / 23 / 2001","Decision (Unanimous)N/A","3","5:00",2001-12-23
"195",10,"Akira Shoji","loss","Semmy Schilt","Pride 16 - Beasts From The EastSep / 24 / 2001","KO (Knee and Punches)N/A","1","8:19",2001-09-24
"204",10,"Akira Shoji","loss","Dan Henderson","Pride 14 - Clash of the TitansMay / 27 / 2001","TKO (Punches and Knees)N/A","3","3:18",2001-05-27
"2110",10,"Akira Shoji","loss","Ricardo Almeida","Pride 12 - Cold FuryDec / 23 / 2000","Decision (Unanimous)N/A","2","5:00",2000-12-23
"225",10,"Akira Shoji","win","Herman Renting","Pride 11 - Battle of the Rising SunOct / 31 / 2000","Submission (Armbar)N/A","1","3:48",2000-10-31
"234",10,"Akira Shoji","win","John Renken","Pride 9 - New BloodJun / 04 / 2000","Submission (Armbar)Yuji Shimada","1","6:44",2000-06-04
"244",10,"Akira Shoji","loss","Mark Coleman","Pride FC - Pride Grand Prix 2000: FinalsMay / 01 / 2000","Decision (Unanimous)Keiji Shiozaki","1","15:00",2000-05-01
"254",10,"Akira Shoji","win","Ebenezer Fontes Braga","Pride FC - Pride Grand Prix 2000: Opening RoundJan / 30 / 2000","Decision (Unanimous)Akira Okabayashi","1","15:00",2000-01-30
"264",10,"Akira Shoji","draw","Ryushi Yanagisawa","Pancrase - 1999 Anniversary ShowSep / 18 / 1999","DrawSoichi Hiroto","1","15:00",1999-09-18
"274",10,"Akira Shoji","win","Larry Parker","Pride FC - Pride 7Sep / 12 / 1999","Decision (Unanimous)Akira Okabayashi","3","5:00",1999-09-12
"284",10,"Akira Shoji","win","Guy Mezger","Pride FC - Pride 6Jul / 04 / 1999","Decision (Split)Yuji Shimada","3","5:00",1999-07-04
"294",10,"Akira Shoji","loss","Igor Vovchanchyn","Pride FC - Pride 5Apr / 29 / 1999","Decision (Unanimous)Akira Okabayashi","2","10:00",1999-04-29
"304",10,"Akira Shoji","win","Wallid Ismail","Pride FC - Pride 4Oct / 11 / 1998","TKO (Punches)Yuji Shimada","2","1:26",1998-10-11
"3110",10,"Akira Shoji","draw","Adriano de Souza","GCM - Vale TudoAug / 29 / 1998","DrawN/A","3","5:00",1998-08-29
"324",10,"Akira Shoji","draw","Daijiro Matsui","Pride FC - Pride 3Jun / 24 / 1998","Draw (Time Limit)Yuji Shimada","4","10:00",1998-06-24
"333",10,"Akira Shoji","win","Juan Mott","Pride FC - Pride 2Mar / 15 / 1998","Submission (Rear-Naked Choke)Takumi Adachi","1","3:47",1998-03-15
"343",10,"Akira Shoji","draw","Renzo Gracie","Pride FC - Pride 1Oct / 11 / 1997","Draw (Time Limit)Yuji Shimada","3","10:00",1997-10-11
"353",10,"Akira Shoji","loss","Kaichi Tsuji","Lumax Cup - Tournament of J '97 Heavyweight TournamentJul / 27 / 1997","Decision (Unanimous)N/A","2","3:00",1997-07-27
"363",10,"Akira Shoji","win","Vidal Serradilla","JECVTO - Japan Extreme Challenge Vale Tudo OpenMay / 28 / 1997","TKO (Submission to Punches)N/A","1","2:16",1997-05-28
"372",10,"Akira Shoji","draw","Manabu Ohara","KP X WK - Koppo vs. KeisyukaiNov / 30 / 1996","DrawN/A","1","20:00",1996-11-30
"226",11,"Ricardo Almeida","loss","Mike Pyle","UFC 128 - Shogun vs. JonesMar / 19 / 2011","Decision (Unanimous)Kevin MacDonald","3","5:00",2011-03-19
"325",11,"Ricardo Almeida","win","T.J. Grant","UFC 124 - St. Pierre vs. Koscheck 2Dec / 11 / 2010","Decision (Unanimous)Philippe Chartier","3","5:00",2010-12-11
"418",11,"Ricardo Almeida","loss","Matt Hughes","UFC 117 - Silva vs. SonnenAug / 07 / 2010","Technical Submission (Anaconda Choke)Josh Rosenthal","1","3:15",2010-08-07
"514",11,"Ricardo Almeida","win","Matt Brown","UFC 111 - St. Pierre vs. HardyMar / 27 / 2010","Submission (Rear-Naked Choke)Dan Miragliotta","2","3:30",2010-03-27
"614",11,"Ricardo Almeida","win","Kendall Grove","UFC 101 - DeclarationAug / 08 / 2009","Decision (Unanimous)N/A","3","5:00",2009-08-08
"714",11,"Ricardo Almeida","win","Matt Horwich","UFC Fight Night 18 - Condit vs. KampmannApr / 01 / 2009","Decision (Unanimous)Dan Miragliotta","3","5:00",2009-04-01
"89",11,"Ricardo Almeida","loss","Patrick Cote","UFC 86 - Jackson vs. GriffinJul / 05 / 2008","Decision (Split)Herb Dean","3","5:00",2008-07-05
"98",11,"Ricardo Almeida","win","Rob Yundt","UFC 81 - Breaking PointFeb / 02 / 2008","Submission (Guillotine Choke)Herb Dean","1","1:08",2008-02-02
"108",11,"Ricardo Almeida","win","Ryo Chonan","Pride - Bushido 3May / 23 / 2004","Decision (Unanimous)N/A","2","5:00",2004-05-23
"117",11,"Ricardo Almeida","win","Nate Marquardt","Pancrase - Hybrid 10Nov / 30 / 2003","Submission (Guillotine Choke)Soichi Hiroto","1","4:53",2003-11-30
"127",11,"Ricardo Almeida","win","Kazuo Misaki","Pancrase - 10th Anniversary ShowAug / 31 / 2003","Decision (Majority)Kenji Kosuge","3","5:00",2003-08-31
"137",11,"Ricardo Almeida","win","Yuki Sasaki","Pancrase - Hybrid 4Apr / 12 / 2003","Decision (Unanimous)Yoshinori Umeki","3","5:00",2003-04-12
"147",11,"Ricardo Almeida","win","Ikuhisa Minowa","Pancrase - Hybrid 2Feb / 16 / 2003","Decision (Unanimous)Soichi Hiroto","3","5:00",2003-02-16
"157",11,"Ricardo Almeida","win","Osami Shibuya","Pancrase - Spirit 8Nov / 30 / 2002","Submission (Rear-Naked Choke)Hiromi Okamoto","1","3:25",2002-11-30
"167",11,"Ricardo Almeida","loss","Andrei Semenov","UFC 35 - ThrowdownJan / 11 / 2002","TKO (Punches)N/A","2","2:01",2002-01-11
"176",11,"Ricardo Almeida","win","Eugene Jackson","UFC 33 - Victory in VegasSep / 28 / 2001","Submission (Triangle Choke)N/A","1","4:06",2001-09-28
"186",11,"Ricardo Almeida","loss","Matt Lindland","UFC 31 - Locked & LoadedMay / 04 / 2001","Disqualification (Repeated Fouls)N/A","3","4:21",2001-05-04
"196",11,"Ricardo Almeida","win","Akira Shoji","Pride 12 - Cold FuryDec / 23 / 2000","Decision (Unanimous)N/A","2","5:00",2000-12-23
"227",12,"Enson Inoue","win","Antz Nansen","Astra - Yoshida's FarewellApr / 25 / 2010","Submission (Armbar)Ryogaku Wada","1","2:10",2010-04-25
"326",12,"Enson Inoue","loss","Tommy Sauer","SB 35 - SuperBrawl 35Apr / 16 / 2004","TKO (Punches)N/A","1","4:14",2004-04-16
"419",12,"Enson Inoue","win","Soichi Nishida","FFCF 1 - Fury Full Contact Fighting 1Jan / 10 / 2004","Submission (Choke)N/A","0","0:00",2004-01-10
"515",12,"Enson Inoue","loss","Antonio Rodrigo Nogueira","Pride 19 - Bad BloodFeb / 24 / 2002","Technical Submission  (Triangle Choke)N/A","1","6:17",2002-02-24
"615",12,"Enson Inoue","loss","Heath Herring","Pride 12 - Cold FuryDec / 23 / 2000","TKO (Knees)N/A","1","4:52",2000-12-23
"715",12,"Enson Inoue","loss","Igor Vovchanchyn","Pride 10 - Return of the WarriorsAug / 27 / 2000","TKO (Doctor Stoppage)N/A","1","10:00",2000-08-27
"810",12,"Enson Inoue","loss","Mark Kerr","Pride FC - Pride Grand Prix 2000: Opening RoundJan / 30 / 2000","Decision (Unanimous)Keiji Shiozaki","1","15:00",2000-01-30
"99",12,"Enson Inoue","win","Soichi Nishida","Pride FC - Pride 5Apr / 29 / 1999","Submission (Rear-Naked Choke)Yuji Shimada","1","0:24",1999-04-29
"109",12,"Enson Inoue","win","Randy Couture","VTJ 1998 - Vale Tudo Japan 1998Oct / 25 / 1998","Submission (Armbar)N/A","1","1:39",1998-10-25
"118",12,"Enson Inoue","loss","Frank Shamrock","VTJ 1997 - Vale Tudo Japan 1997Nov / 29 / 1997","Disqualification  (Egan Inoue Ran Into the Ring)N/A","2","7:17",1997-11-29
"128",12,"Enson Inoue","win","Joe Estes","Shooto - Reconquista 4Oct / 12 / 1997","TKO (Submission to Punches)N/A","1","1:06",1997-10-12
"138",12,"Enson Inoue","win","Royce Alger","UFC 13 - The Ultimate ForceMay / 30 / 1997","Submission (Armlock)John McCarthy","1","1:36",1997-05-30
"148",12,"Enson Inoue","win","Casemiro Nascimento Martins","Shooto - Reconquista 2Apr / 06 / 1997","TKO (Elbows)N/A","1","0:45",1997-04-06
"158",12,"Enson Inoue","win","Mushtaq Abdullah","Shooto - Let's Get LostOct / 04 / 1996","TKO (Submission to Punches)N/A","1","0:38",1996-10-04
"168",12,"Enson Inoue","loss","Igor Zinoviev","VTJ 1996 - Vale Tudo Japan 1996Jul / 07 / 1996","TKO (Punches)N/A","1","0:44",1996-07-07
"177",12,"Enson Inoue","loss","Joe Estes","Shooto - Vale Tudo Junction 3May / 07 / 1996","Decision (Majority)N/A","3","8:00",1996-05-07
"187",12,"Enson Inoue","win","Andre Mannaart","Shooto - Vale Tudo Junction 1Jan / 20 / 1996","TKO (Punches)N/A","1","3:20",1996-01-20
